Time,J2000 X,J2000 Y,J2000  Z, J2000 XD, J2000 YD, J2000 ZD, J2000 AX, J2000 AY, J2000 AZ, x_ecef, y_ecef, z_ecef, xd_ecef, yd_ecef, zd_ecef
04/22/12 00:00:50,-13255291.32,7686104.575,-21479621.91,-1903.571305,-3403.711632,3.198453,0.287589,-0.166763,0.466117,7497252.774,-13336682.2,-21495981.43,2395.223088,1419.784221,0.92924
04/22/12 00:08:20,-14082144.47,6138667.398,-21430976.48,-1769.942654,-3471.28763,212.990302,0.306106,-0.133441,0.465942,8582728.221,-12711534.37,-21448320.52,2427.071628,1357.573181,210.885519
04/22/12 00:15:50,-14847033.28,4564220.559,-21288013.3,-1628.272541,-3523.700249,422.230907,0.323313,-0.099396,0.463666,9679740.925,-12115761.41,-21306265.7,2446.41501,1289.396718,420.300127
04/22/12 00:23:20,-15546474.9,2969655.692,-21051193.31,-1479.171351,-3560.658456,629.973888,0.339118,-0.064782,0.459286,10782557.54,-11551817.79,-21070273.73,2452.800894,1216.285272,628.225934
04/22/12 00:30:50,-16177270.13,1361979.441,-20721403.35,-1323.288948,-3581.9425,835.273409,0.353438,-0.02976,0.452808,11885267.06,-11021683.81,-20741227.7,2445.892946,1139.313901,833.716308
04/22/12 00:38:20,-16736520.57,-251719.099,-20299954.86,-1161.311787,-3587.405992,1037.189129,0.366194,0.005504,0.444251,12981834.12,-10526848.09,-20320435.6,2425.475258,1059.591099,1035.830069
04/22/12 00:45:50,-17221644.36,-1864301.783,-19788580.25,-993.959735,-3576.977566,1234.791245,0.377315,0.040843,0.433642,14066153.87,-10068295.03,-19809626.81,2391.455528,978.247163,1233.636532
04/22/12 00:53:20,-17630390.44,-3468615.468,-19189427.01,-821.982605,-3550.662101,1427.165559,0.38674,0.076085,0.421024,15132108.15,-9646497.761,-19210946.19,2343.866966,896.422233,1426.220586
04/22/12 01:00:50,-17960851.23,-5057526.514,-18505049.57,-646.156437,-3508.541481,1613.418555,0.394414,0.111059,0.406446,16173622.09,-9261416.403,-18526945.94,2282.868853,815.254147,1612.687769
04/22/12 01:08:20,-18211473.53,-6623955.516,-17738398.84,-467.279543,-3450.774868,1792.68243,0.400292,0.145594,0.389972,17184720.76,-8912501.852,-17760575.2,2208.745769,735.866239,1792.169306
04/22/12 01:15:50,-18381067.61,-8160912.046,-16892809.5,-286.168339,-3377.59847,1964.120033,0.404339,0.179519,0.371676,18159585.1,-8598705.043,-16915167.31,2121.905437,659.355228,1963.827052
04/22/12 01:23:20,-18468814.37,-9661529.173,-15971985.2,-103.653003,-3289.324801,2126.929671,0.406529,0.212665,0.35164,19092606.61,-8318491.609,-15994425.03,2022.875239,586.779343,2126.858309
04/22/12 01:30:50,-18474270.58,-11119097.54,-14979981.46,79.427012,-3186.341429,2280.349744,0.406847,0.244868,0.329961,19978440.13,-8069861.805,-15002403.43,1912.2974,519.146823,2280.500454
04/22/12 01:38:20,-18397371.98,-12527098.78,-13921186.68,262.227569,-3069.109202,2423.663146,0.405287,0.275967,0.30674,20812054.27,-7850375.498,-13943490.95,1790.922895,457.404929,2424.035363
04/22/12 01:45:50,-18238434.34,-13879237.94,-12800301.16,443.90451,-2938.159976,2556.201419,0.401855,0.305807,0.282091,21588778.65,-7657181.958,-12822388.37,1659.604158,402.429608,2556.793553
04/22/12 01:53:20,-17998152.43,-15169474.89,-11622314.34,623.618344,-2794.093846,2677.348591,0.396566,0.33424,0.256134,22304347.78,-7487054.134,-11644086.09,1519.286646,355.015934,2678.158036
04/22/12 02:00:50,-17677596.89,-16392054.32,-10392480.39,800.538927,-2637.57591,2786.544677,0.389446,0.361126,0.228997,22954940.8,-7336427.032,-10413839.64,1370.999383,315.86944,2787.567826
04/22/12 02:08:20,-17278208.91,-17541534.12,-9116292.236,973.850077,-2469.332587,2883.288819,0.380531,0.386332,0.200815,23537216.79,-7201439.772,-9137143.834,1215.84457,285.598442,2884.521078
04/22/12 02:15:50,-16801793,-18612812.12,-7799454.412,1142.754107,-2290.147519,2967.142008,0.369867,0.409736,0.171727,24048345.17,-7077980.861,-7819705.468,1054.98641,264.707466,2968.577824
04/22/12 02:23:20,-16250507.64,-19601150.84,-6447854.628,1306.476209,-2100.857102,3037.7294,0.35751,0.431227,0.14188,24486031.03,-6961736.161,-6467414.966,889.639252,253.591829,3039.362285
04/22/12 02:30:50,-15626854.01,-20502200.15,-5067534.482,1464.268674,-1902.345679,3094.742177,0.343524,0.450703,0.111421,24848534.85,-6848239.019,-5086317.051,721.055225,252.533458,3096.564743
04/22/12 02:38:20,-14933662.94,-21312017.69,-3664659.41,1615.414901,-1695.540439,3137.938959,0.327984,0.468074,0.080501,25134686.72,-6732922,-3682580.677,550.511498,261.697983,3139.942959
04/22/12 02:45:50,-14174079.99,-22027087.02,-2245488.112,1759.233156,-1481.406086,3167.146751,0.31097,0.483265,0.049273,25343894.64,-6611169.626,-2262468.442,379.297317,281.133127,3169.32312
04/22/12 02:53:20,-13351549.01,-22644333.18,-816341.647,1895.080073,-1260.939303,3182.26143,0.292571,0.496209,0.01789,25476147.06,-6478371.553,-832305.657,208.700979,310.768417,3184.600332
04/22/12 03:00:50,-12469794.12,-23161135.87,616427.581,2022.353843,-1035.163082,3183.247766,0.272883,0.506854,-0.013494,25532009.5,-6329975.579,601550.679,39.996897,350.416193,3185.738648
04/22/12 03:08:20,-11532800.36,-23575339.99,2046466.74,2140.497096,-805.120969,3170.139002,0.252009,0.515163,-0.04473,25512615.48,-6161539.908,2032742.838,-125.567096,399.773901,3172.770642
