Time,dtsec, X, Y, Z, xecef, yecef, zecef, A(km), E, I, RAAN, ARGP, TA, MA,SVE,Beta,SunPct,Eclipse(*)
06/01/12 00:00:00,0,18988410.689,5170910.062,-17841865.424,-11439965.133,16039291.540,-17818488.652,26560.021,0.001673,55.580348,53.638749,40.335486,265.154528,265.345602,98.75,0.44,1,
06/01/12 00:01:00,60.0000002,19038177.658,5368234.901,-17729621.104,-11572059.135,16068229.468,-17706187.284,26560.052,0.001673,55.580371,53.638712,40.296804,265.694517,265.885691,99.25,0.44,1,
06/01/12 00:02:00,119.9999998,19086487.277,5565148.811,-17616019.328,-11703244.480,16097389.937,-17592530.251,26560.082,0.001673,55.580393,53.638675,40.257736,266.234907,266.426168,99.76,0.44,1,
06/01/12 00:03:00,180,19133335.777,5761636.697,-17501068.731,-11833501.809,16126770.142,-17477526.193,26560.113,0.001672,55.580415,53.638639,40.218306,266.775674,266.967007,100.26,0.44,1,
06/01/12 00:04:00,240.0000002,19178719.506,5957683.498,-17384778.053,-11962821.722,16156360.177,-17361183.853,26560.145,0.001672,55.580438,53.638603,40.178536,267.316795,267.508186,100.76,0.44,1,
06/01/12 00:05:00,299.9999997,19222634.921,6153274.184,-17267156.135,-12091194.959,16186150.042,-17243512.077,26560.176,0.001672,55.58046,53.638567,40.138454,267.858243,268.049678,101.26,0.44,1,
06/01/12 00:06:00,359.9999999,19265078.590,6348393.758,-17148211.924,-12218612.402,16216129.645,-17124519.815,26560.207,0.001671,55.580483,53.638532,40.09808,268.399997,268.591461,101.76,0.44,1,
06/01/12 00:07:00,420.0000001,19306047.197,6543027.259,-17027954.466,-12345065.074,16246288.804,-17004216.118,26560.239,0.001671,55.580506,53.638498,40.057444,268.942029,269.133508,102.26,0.44,1,
06/01/12 00:08:00,480.0000003,19345537.535,6737159.761,-16906392.911,-12470544.145,16276617.249,-16882610.138,26560.271,0.001671,55.580529,53.638464,40.016568,269.484315,269.675795,102.76,0.44,1,
06/01/12 00:09:00,539.9999999,19383546.511,6930776.376,-16783536.507,-12595040.928,16307104.621,-16759711.128,26560.303,0.001671,55.580552,53.63843,39.975478,270.026829,270.218296,103.26,0.44,1,
06/01/12 00:10:00,600.0000001,19420071.146,7123862.252,-16659394.604,-12718546.882,16337740.479,-16635528.440,26560.335,0.001671,55.580575,53.638397,39.934199,270.569547,270.760986,103.76,0.44,1,
06/01/12 00:11:00,660.0000003,19455108.573,7316402.578,-16533976.651,-12841053.616,16368514.299,-16510071.528,26560.367,0.001671,55.580598,53.638364,39.892758,271.112442,271.303839,104.26,0.44,1,
06/01/12 00:12:00,719.9999998,19488656.041,7508382.583,-16407292.195,-12962552.885,16399415.474,-16383349.941,26560.399,0.001671,55.580621,53.638332,39.851181,271.655489,271.846829,104.76,0.44,1,
